COUNTRY,STATE,TZ
USA,AL,CST
USA,AZ,MST
USA,AR,CST
USA,CA,PST
USA,CO,MST
USA,CT,EST
USA,FL,EST
USA,GA,EST
USA,ID,PST
USA,IL,CST
USA,IN,EST
USA,IA,CST
USA,KS,MST
USA,KY,EST
USA,LA,CST
USA,ME,EST
USA,MD,EST
USA,MA,EST
USA,MI,EST
USA,MN,CST
USA,MS,CST
USA,MO,CST
USA,MT,MST
USA,NE,MST
USA,NV,MST
USA,NH,EST
USA,NJ,EST
USA,NM,MST
USA,NY,EST
USA,NC,EST
USA,ND,CST
USA,OH,EST
USA,OK,CST
USA,OR,PST
USA,PA,EST
USA,RI,EST
USA,SC,EST
USA,SD,CST
USA,TN,CST
USA,TX,CST
USA,UT,MST
USA,VT,EST
USA,VA,EST
USA,WA,PST
USA,WV,EST
USA,WI,CST
USA,WY,MST
USA,DC,EST
CAN,Alberta,MST
CAN,British Columbia,PST
CAN,Manitoba,MST
CAN,New Brunswick,EST
CAN,Newfoundland and Labrador,EST
CAN,Northwest Territories,MST
CAN,Nova Scotia,EST
CAN,Nunavut,MST
CAN,Ontario,EST
CAN,Prince Edward Island,EST
CAN,Quebec,EST
CAN,Saskatchewan,MST
CAN,Yukon,MST
CAN,AB,MST
CAN,BC,PST
CAN,MB,CST
CAN,NB,EST
CAN,NL,EST
CAN,NT,MST
CAN,NS,AST
CAN,NU,NST
CAN,ON,EST
CAN,PE,MST
CAN,QC,EST
CAN,SK,CST
CAN,YT,AST
